Entity,Code,Day,p_proj_all_ages
Armenia,ARM,2021-09-30,57.7
Armenia,ARM,2021-10-31,79.72
Armenia,ARM,2021-11-30,115.09
Armenia,ARM,2021-12-31,32.22
Armenia,ARM,2022-01-31,13.99
Aruba,ABW,2020-01-31,19.58
Aruba,ABW,2020-02-29,-2.61
Aruba,ABW,2020-03-31,27.81
Aruba,ABW,2020-04-30,1.18
Aruba,ABW,2020-05-31,-24.32
Aruba,ABW,2020-06-30,15.61
Aruba,ABW,2020-07-31,-13.76
Aruba,ABW,2020-08-31,13.92
Aruba,ABW,2020-09-30,59.84
Aruba,ABW,2020-10-31,28.39
Aruba,ABW,2020-11-30,-2.9
Aruba,ABW,2020-12-31,-6.1
Aruba,ABW,2021-01-31,19.51
Aruba,ABW,2021-02-28,53.44
Aruba,ABW,2021-03-31,40.11
Aruba,ABW,2021-04-30,62.39
Aruba,ABW,2021-05-31,12.56
Aruba,ABW,2021-06-30,-11.94
Aruba,ABW,2021-07-31,30.35
Aruba,ABW,2021-08-31,120.18
Aruba,ABW,2021-09-30,82.18
Aruba,ABW,2021-10-31,70.64
Aruba,ABW,2021-11-30,34.72
Aruba,ABW,2021-12-31,11.85
Australia,AUS,2020-01-05,-5.66
Australia,AUS,2020-01-12,-4.88
Australia,AUS,2020-01-19,-4.23
Australia,AUS,2020-01-26,0.43
Australia,AUS,2020-02-02,-3.42
Australia,AUS,2020-02-09,-2.68
Australia,AUS,2020-02-16,0.18
Australia,AUS,2020-02-23,-0.71
Australia,AUS,2020-03-01,1.77
Australia,AUS,2020-03-08,-2.74
Australia,AUS,2020-03-15,-1.5
Australia,AUS,2020-03-22,1.18
Australia,AUS,2020-03-29,3.9
Australia,AUS,2020-04-05,6.71
Australia,AUS,2020-04-12,2.27
Australia,AUS,2020-04-19,-2.2
Australia,AUS,2020-04-26,-0.47
Australia,AUS,2020-05-03,-3.63
Australia,AUS,2020-05-10,-2.47
Australia,AUS,2020-05-17,-6.59
Australia,AUS,2020-05-24,-5.07
Australia,AUS,2020-05-31,-6.17
Australia,AUS,2020-06-07,-9.54
Australia,AUS,2020-06-14,-8.37
Australia,AUS,2020-06-21,-11.14
Australia,AUS,2020-06-28,-12.46
Australia,AUS,2020-07-05,-11.48
Australia,AUS,2020-07-12,-10.39
Australia,AUS,2020-07-19,-12.89
Australia,AUS,2020-07-26,-9.62
Australia,AUS,2020-08-02,-7.11
Australia,AUS,2020-08-09,-7.7
Australia,AUS,2020-08-16,-5.37
Australia,AUS,2020-08-23,-11.19
Australia,AUS,2020-08-30,-11.95
Australia,AUS,2020-09-06,-9.57
Australia,AUS,2020-09-13,-10.11
Australia,AUS,2020-09-20,-12.02
Australia,AUS,2020-09-27,-6.08
Australia,AUS,2020-10-04,-6.35
Australia,AUS,2020-10-11,-8.5
Australia,AUS,2020-10-18,-8.13
Australia,AUS,2020-10-25,-7.83
Australia,AUS,2020-11-01,-5.43
Australia,AUS,2020-11-08,-3.42
Australia,AUS,2020-11-15,0.95
Australia,AUS,2020-11-22,-4.31
Australia,AUS,2020-11-29,-5.18
Australia,AUS,2020-12-06,1.3
Australia,AUS,2020-12-13,-3.69
Australia,AUS,2020-12-20,-1.25
Australia,AUS,2020-12-27,1.61
Australia,AUS,2021-01-03,-1.59
Australia,AUS,2021-01-10,-2.67
Australia,AUS,2021-01-17,-4.94
Australia,AUS,2021-01-24,1.97
Australia,AUS,2021-01-31,-3.04
Australia,AUS,2021-02-07,1.74
Australia,AUS,2021-02-14,-2.84
Australia,AUS,2021-02-21,-3.82
Australia,AUS,2021-02-28,-0.08
Australia,AUS,2021-03-07,-1.02
Australia,AUS,2021-03-14,0.33
Australia,AUS,2021-03-21,1.39
Australia,AUS,2021-03-28,-1.21
Australia,AUS,2021-04-04,-0.67
Australia,AUS,2021-04-11,-5
Australia,AUS,2021-04-18,3.49
Australia,AUS,2021-04-25,1.69
Australia,AUS,2021-05-02,2.85
Australia,AUS,2021-05-09,6.05
Australia,AUS,2021-05-16,0.45
Australia,AUS,2021-05-23,0.55
Australia,AUS,2021-05-30,2.69
Australia,AUS,2021-06-06,-2.78
Australia,AUS,2021-06-13,1.97
Australia,AUS,2021-06-20,0.45
Australia,AUS,2021-06-27,-2.4
Australia,AUS,2021-07-04,-2.39
Australia,AUS,2021-07-11,-2.71
Australia,AUS,2021-07-18,-0.96
Australia,AUS,2021-07-25,-1.27
Australia,AUS,2021-08-01,-1.03
Australia,AUS,2021-08-08,-5.06
Australia,AUS,2021-08-15,-6.45
Australia,AUS,2021-08-22,-6.12
Australia,AUS,2021-08-29,-8.26
Australia,AUS,2021-09-05,-6.91
Australia,AUS,2021-09-12,-8.46
Australia,AUS,2021-09-19,-3.75
Australia,AUS,2021-09-26,-5.71
Australia,AUS,2021-10-03,1.28
Australia,AUS,2021-10-10,-2.26
Australia,AUS,2021-10-17,-1.65
Australia,AUS,2021-10-24,1.13
Australia,AUS,2021-10-31,-0.15
Australia,AUS,2021-11-07,0.75
Australia,AUS,2021-11-14,-4.52
Australia,AUS,2021-11-21,1.57
Australia,AUS,2021-11-28,0.11
Australia,AUS,2021-12-05,1.72
Australia,AUS,2021-12-12,0.71
Australia,AUS,2021-12-19,0.21
Australia,AUS,2021-12-26,3.9
Australia,AUS,2022-01-02,1.09
Austria,AUT,2020-01-05,-11.72
Austria,AUT,2020-01-12,-9.28
Austria,AUT,2020-01-19,-0.48
Austria,AUT,2020-01-26,0.72
Austria,AUT,2020-02-02,5.94
Austria,AUT,2020-02-09,-9.38
Austria,AUT,2020-02-16,-6.06
Austria,AUT,2020-02-23,-6.64
Austria,AUT,2020-03-01,-3.64
Austria,AUT,2020-03-08,-1.62
Austria,AUT,2020-03-15,-0.73
Austria,AUT,2020-03-22,13.53
Austria,AUT,2020-03-29,6.01
Austria,AUT,2020-04-05,13.92
Austria,AUT,2020-04-12,14.54
Austria,AUT,2020-04-19,10.46
Austria,AUT,2020-04-26,6.62
Austria,AUT,2020-05-03,-0.26
Austria,AUT,2020-05-10,4.21
Austria,AUT,2020-05-17,0.46
Austria,AUT,2020-05-24,2.79
Austria,AUT,2020-05-31,-1.09
Austria,AUT,2020-06-07,4.08
Austria,AUT,2020-06-14,-0.11
Austria,AUT,2020-06-21,-0.97
Austria,AUT,2020-06-28,1.34
Austria,AUT,2020-07-05,7.33
Austria,AUT,2020-07-12,-0.97
Austria,AUT,2020-07-19,-3.09
Austria,AUT,2020-07-26,-3.71
Austria,AUT,2020-08-02,0.2
Austria,AUT,2020-08-09,-0.86
Austria,AUT,2020-08-16,8.6
Austria,AUT,2020-08-23,1.65
Austria,AUT,2020-08-30,3.73
Austria,AUT,2020-09-06,9.07
Austria,AUT,2020-09-13,8.59
Austria,AUT,2020-09-20,8.79
Austria,AUT,2020-09-27,2.76
Austria,AUT,2020-10-04,3.75
Austria,AUT,2020-10-11,5.58
Austria,AUT,2020-10-18,6.21
Austria,AUT,2020-10-25,16.48
Austria,AUT,2020-11-01,23.74
Austria,AUT,2020-11-08,31.23
Austria,AUT,2020-11-15,45.52
Austria,AUT,2020-11-22,55.02
Austria,AUT,2020-11-29,56
Austria,AUT,2020-12-06,57.19
Austria,AUT,2020-12-13,52.46
Austria,AUT,2020-12-20,35.34
Austria,AUT,2020-12-27,21.47
Austria,AUT,2021-01-03,14.23
Austria,AUT,2021-01-10,6.94
Austria,AUT,2021-01-17,4.06
Austria,AUT,2021-01-24,10.87
Austria,AUT,2021-01-31,10.01
Austria,AUT,2021-02-07,1.29
Austria,AUT,2021-02-14,-5.55
Austria,AUT,2021-02-21,-6.33
Austria,AUT,2021-02-28,-9.67
Austria,AUT,2021-03-07,-13.64
Austria,AUT,2021-03-14,-1.53
Austria,AUT,2021-03-21,-2.48
Austria,AUT,2021-03-28,2.24
Austria,AUT,2021-04-04,6.38
Austria,AUT,2021-04-11,3.35
Austria,AUT,2021-04-18,8.03
Austria,AUT,2021-04-25,9.23
Austria,AUT,2021-05-02,13.65
Austria,AUT,2021-05-09,11.39
Austria,AUT,2021-05-16,9.69
Austria,AUT,2021-05-23,2.38
Austria,AUT,2021-05-30,3.1
Austria,AUT,2021-06-06,11.74
Austria,AUT,2021-06-13,8.83
Austria,AUT,2021-06-20,9.26
Austria,AUT,2021-06-27,15.48
Austria,AUT,2021-07-04,6.01
Austria,AUT,2021-07-11,0.7
Austria,AUT,2021-07-18,4.06
Austria,AUT,2021-07-25,5.92
Austria,AUT,2021-08-01,1.36
Austria,AUT,2021-08-08,-4.53
Austria,AUT,2021-08-15,12.27
Austria,AUT,2021-08-22,9.27
Austria,AUT,2021-08-29,7.99
Austria,AUT,2021-09-05,7.06
Austria,AUT,2021-09-12,16.34
Austria,AUT,2021-09-19,9.21
Austria,AUT,2021-09-26,9.14
Austria,AUT,2021-10-03,11.94
Austria,AUT,2021-10-10,4.62
Austria,AUT,2021-10-17,5.92
Austria,AUT,2021-10-24,12.82
Austria,AUT,2021-10-31,23.55
Austria,AUT,2021-11-07,26.48
Austria,AUT,2021-11-14,34.4
Austria,AUT,2021-11-21,34.35
Austria,AUT,2021-11-28,38.01
Austria,AUT,2021-12-05,40.54
Austria,AUT,2021-12-12,30.97
Austria,AUT,2021-12-19,18.72
Austria,AUT,2021-12-26,10.41
Austria,AUT,2022-01-02,5.86
Austria,AUT,2022-01-09,-4.67
Austria,AUT,2022-01-16,-11.17
Austria,AUT,2022-01-23,-0.13
Austria,AUT,2022-01-30,-0.84
Austria,AUT,2022-02-06,-3.44
Austria,AUT,2022-02-13,-0.79
Austria,AUT,2022-02-20,3.59
Austria,AUT,2022-02-27,-0.92
Austria,AUT,2022-03-06,5.49
Austria,AUT,2022-03-13,2.93
Austria,AUT,2022-03-20,8.7
Azerbaijan,AZE,2020-01-31,-2.85
Azerbaijan,AZE,2020-02-29,0.88
Azerbaijan,AZE,2020-03-31,23.76
Azerbaijan,AZE,2020-04-30,-9.05
Azerbaijan,AZE,2020-05-31,-9.69
Azerbaijan,AZE,2020-06-30,47.19
Azerbaijan,AZE,2020-07-31,31.84
Azerbaijan,AZE,2020-08-31,10.07
Azerbaijan,AZE,2020-09-30,7.78
Azerbaijan,AZE,2020-10-31,28.89
Azerbaijan,AZE,2020-11-30,82.48
Azerbaijan,AZE,2020-12-31,202.07
Azerbaijan,AZE,2021-01-31,50.06
Azerbaijan,AZE,2021-02-28,7.78
Azerbaijan,AZE,2021-03-31,21.71
Azerbaijan,AZE,2021-04-30,49.7
Azerbaijan,AZE,2021-05-31,14.7
Azerbaijan,AZE,2021-06-30,23.82
Azerbaijan,AZE,2021-07-31,4.98
Azerbaijan,AZE,2021-08-31,42.19
Azerbaijan,AZE,2021-09-30,80.5
Azerbaijan,AZE,2021-10-31,33.94
Azerbaijan,AZE,2021-11-30,66.35
Azerbaijan,AZE,2021-12-31,48.78
Azerbaijan,AZE,2022-01-31,13.46
Barbados,BRB,2020-01-31,-10.34
Barbados,BRB,2020-02-29,-2.78
Barbados,BRB,2020-03-31,8.64
Barbados,BRB,2020-04-30,-17.64
Barbados,BRB,2020-05-31,-4.15
Barbados,BRB,2020-06-30,9.38
Barbados,BRB,2020-07-31,0.17
Barbados,BRB,2020-08-31,9.39
Barbados,BRB,2020-09-30,-21.76
Barbados,BRB,2020-10-31,-9.64
Barbados,BRB,2020-11-30,-11.06
Barbados,BRB,2020-12-31,7.97
Barbados,BRB,2021-01-31,-40.22
Barbados,BRB,2021-02-28,-5.69
Barbados,BRB,2021-03-31,40.24
Barbados,BRB,2021-04-30,-16.81
Barbados,BRB,2021-05-31,-15.2
Barbados,BRB,2021-06-30,10.51
Barbados,BRB,2021-07-31,-38.78
Barbados,BRB,2021-08-31,13.76
Barbados,BRB,2021-09-30,-3.28
Belarus,BLR,2020-01-31,-6.8
Belarus,BLR,2020-02-29,-3.33
Belarus,BLR,2020-03-31,-1.39
Belarus,BLR,2020-04-30,5.7
Belarus,BLR,2020-05-31,15.71
Belarus,BLR,2020-06-30,38.65
Belarus,BLR,2020-07-31,12.51
Belarus,BLR,2020-08-31,11.89
Belarus,BLR,2020-09-30,16.01
Belarus,BLR,2020-10-31,21.51
Belarus,BLR,2020-11-30,62.17
Belarus,BLR,2020-12-31,71.42
Belarus,BLR,2021-01-31,39.9
Belarus,BLR,2021-02-28,25.86
Belarus,BLR,2021-03-31,1.61
Belgium,BEL,2020-01-05,-6.34
Belgium,BEL,2020-01-12,-1.59
Belgium,BEL,2020-01-19,-4.29
Belgium,BEL,2020-01-26,-8.82
Belgium,BEL,2020-02-02,-5.94
Belgium,BEL,2020-02-09,-12.66
Belgium,BEL,2020-02-16,-8.4
Belgium,BEL,2020-02-23,-7.32
Belgium,BEL,2020-03-01,-11.45
Belgium,BEL,2020-03-08,-9.63
Belgium,BEL,2020-03-15,-4.51
Belgium,BEL,2020-03-22,10.22
Belgium,BEL,2020-03-29,43.94
Belgium,BEL,2020-04-05,90.16
Belgium,BEL,2020-04-12,105.35
Belgium,BEL,2020-04-19,80.96
Belgium,BEL,2020-04-26,49.92
Belgium,BEL,2020-05-03,21.02
Belgium,BEL,2020-05-10,18.02
Belgium,BEL,2020-05-17,3.33
Belgium,BEL,2020-05-24,5.95
Belgium,BEL,2020-05-31,2.94
Belgium,BEL,2020-06-07,-3.95
Belgium,BEL,2020-06-14,2.34
Belgium,BEL,2020-06-21,-4.98
Belgium,BEL,2020-06-28,4.02
Belgium,BEL,2020-07-05,-12.39
Belgium,BEL,2020-07-12,-9.41
Belgium,BEL,2020-07-19,-2.14
Belgium,BEL,2020-07-26,-9.08
Belgium,BEL,2020-08-02,3.55
Belgium,BEL,2020-08-09,9.39
Belgium,BEL,2020-08-16,55.78
Belgium,BEL,2020-08-23,16.78
Belgium,BEL,2020-08-30,-1.26
Belgium,BEL,2020-09-06,2.61
Belgium,BEL,2020-09-13,-1.84
Belgium,BEL,2020-09-20,6.73
Belgium,BEL,2020-09-27,0.71
Belgium,BEL,2020-10-04,-2.24
Belgium,BEL,2020-10-11,2.24
Belgium,BEL,2020-10-18,7.86
Belgium,BEL,2020-10-25,32.33
Belgium,BEL,2020-11-01,65.9
Belgium,BEL,2020-11-08,84.31
Belgium,BEL,2020-11-15,68.33
Belgium,BEL,2020-11-22,51.4
Belgium,BEL,2020-11-29,37.82
Belgium,BEL,2020-12-06,25.21
Belgium,BEL,2020-12-13,25.46
Belgium,BEL,2020-12-20,21.57
Belgium,BEL,2020-12-27,17.08
Belgium,BEL,2021-01-03,9.38
Belgium,BEL,2021-01-10,4.05
Belgium,BEL,2021-01-17,-0.69
Belgium,BEL,2021-01-24,1.12
Belgium,BEL,2021-01-31,1.26
Belgium,BEL,2021-02-07,-8.83
Belgium,BEL,2021-02-14,-10.09
Belgium,BEL,2021-02-21,-7.74
Belgium,BEL,2021-02-28,-13.46
Belgium,BEL,2021-03-07,-20.37
Belgium,BEL,2021-03-14,-11.4
Belgium,BEL,2021-03-21,-9.87
Belgium,BEL,2021-03-28,-8.65
Belgium,BEL,2021-04-04,0.41
Belgium,BEL,2021-04-11,4.89
Belgium,BEL,2021-04-18,4.01
Belgium,BEL,2021-04-25,8.63
Belgium,BEL,2021-05-02,9.12
Belgium,BEL,2021-05-09,12.85
Belgium,BEL,2021-05-16,2.75
Belgium,BEL,2021-05-23,2.77
Belgium,BEL,2021-05-30,1.61
Belgium,BEL,2021-06-06,3.3
Belgium,BEL,2021-06-13,0.53
Belgium,BEL,2021-06-20,6.22
Belgium,BEL,2021-06-27,-7.03
Belgium,BEL,2021-07-04,2.01
Belgium,BEL,2021-07-11,-9.44
Belgium,BEL,2021-07-18,3.02
Belgium,BEL,2021-07-25,5.54
Belgium,BEL,2021-08-01,-5.12
Belgium,BEL,2021-08-08,-0.08
Belgium,BEL,2021-08-15,1.31
Belgium,BEL,2021-08-22,-0.56
Belgium,BEL,2021-08-29,-1.68
Belgium,BEL,2021-09-05,2.99
Belgium,BEL,2021-09-12,9.28
Belgium,BEL,2021-09-19,2.18
Belgium,BEL,2021-09-26,0.75
Belgium,BEL,2021-10-03,2.28
Belgium,BEL,2021-10-10,4.73
Belgium,BEL,2021-10-17,10.53
Belgium,BEL,2021-10-24,17.06
Belgium,BEL,2021-10-31,17.34
Belgium,BEL,2021-11-07,15.51
Belgium,BEL,2021-11-14,19.12
Belgium,BEL,2021-11-21,17.96
Belgium,BEL,2021-11-28,18.64
Belgium,BEL,2021-12-05,30.22
Belgium,BEL,2021-12-12,20.92
Belgium,BEL,2021-12-19,14.72
Belgium,BEL,2021-12-26,8.2
Belgium,BEL,2022-01-02,9.78
Belgium,BEL,2022-01-09,-1.5
Belgium,BEL,2022-01-16,-8.63
Belgium,BEL,2022-01-23,-2.33
Belgium,BEL,2022-01-30,4.15
Belgium,BEL,2022-02-06,4.74
Belgium,BEL,2022-02-13,2.15
Belgium,BEL,2022-02-20,-3.34
Belgium,BEL,2022-02-27,-8.08
Belgium,BEL,2022-03-06,-16.45
Belize,BLZ,2020-01-31,0.68
Belize,BLZ,2020-02-29,2.85
Belize,BLZ,2020-03-31,-10.37
Belize,BLZ,2020-04-30,-14.61
Belize,BLZ,2020-05-31,-5.08
Belize,BLZ,2020-06-30,3.32
Belize,BLZ,2020-07-31,-3.94
Belize,BLZ,2020-08-31,-3.94
Belize,BLZ,2020-09-30,-10.67
Belize,BLZ,2020-10-31,12.63
Belize,BLZ,2020-11-30,50.77
Belize,BLZ,2020-12-31,51.1
Bermuda,BMU,2020-01-31,-27.64
Bermuda,BMU,2020-02-29,7.53
Bermuda,BMU,2020-03-31,22.62
Bermuda,BMU,2020-04-30,41.91
Bermuda,BMU,2020-05-31,4.58
Bermuda,BMU,2020-06-30,-19.59
Bermuda,BMU,2020-07-31,-11.7
Bermuda,BMU,2020-08-31,-6.46
Bermuda,BMU,2020-09-30,57.11
Bermuda,BMU,2020-10-31,-26.17
Bermuda,BMU,2020-11-30,4.9
Bermuda,BMU,2020-12-31,-1.1
Bolivia,BOL,2020-01-31,5.24
Bolivia,BOL,2020-02-29,7.39
Bolivia,BOL,2020-03-31,4.88
Bolivia,BOL,2020-04-30,-28.23
Bolivia,BOL,2020-05-31,-2.93
Bolivia,BOL,2020-06-30,78.54
Bolivia,BOL,2020-07-31,242.94
Bolivia,BOL,2020-08-31,136.4
Bolivia,BOL,2020-09-30,21.56
Bolivia,BOL,2020-10-31,12.77
Bolivia,BOL,2020-11-30,9.91
Bolivia,BOL,2020-12-31,6.42
Bolivia,BOL,2021-01-31,101.02
Bolivia,BOL,2021-02-28,63.36
Bolivia,BOL,2021-03-31,33.8
Bolivia,BOL,2021-04-30,24.67
Bolivia,BOL,2021-05-31,83.54
Bolivia,BOL,2021-06-30,113.18
Bolivia,BOL,2021-07-31,68.97
Bolivia,BOL,2021-08-31,39.95
Bolivia,BOL,2021-09-30,24.23
Bolivia,BOL,2021-10-31,14.8
Bolivia,BOL,2021-11-30,29.2
Bolivia,BOL,2021-12-31,129.98
Bolivia,BOL,2022-01-31,43.99
Bosnia and Herzegovina,BIH,2020-01-31,-17.62
Bosnia and Herzegovina,BIH,2020-02-29,-3.38
Bosnia and Herzegovina,BIH,2020-03-31,-11.77
Bosnia and Herzegovina,BIH,2020-04-30,6.51
Bosnia and Herzegovina,BIH,2020-05-31,-2.03
Bosnia and Herzegovina,BIH,2020-06-30,6.81
Bosnia and Herzegovina,BIH,2020-07-31,9.15
Bosnia and Herzegovina,BIH,2020-08-31,16.65
Bosnia and Herzegovina,BIH,2020-09-30,29.57
Bosnia and Herzegovina,BIH,2020-10-31,16.29
Bosnia and Herzegovina,BIH,2020-11-30,84.26
Bosnia and Herzegovina,BIH,2020-12-31,94.24
Bosnia and Herzegovina,BIH,2021-01-31,2.15
Bosnia and Herzegovina,BIH,2021-02-28,4.8
Bosnia and Herzegovina,BIH,2021-03-31,43.03
Bosnia and Herzegovina,BIH,2021-04-30,102.26
Bosnia and Herzegovina,BIH,2021-05-31,41.74
Bosnia and Herzegovina,BIH,2021-06-30,19.33
Bosnia and Herzegovina,BIH,2021-07-31,9.94
Bosnia and Herzegovina,BIH,2021-08-31,6.51
Bosnia and Herzegovina,BIH,2021-09-30,42.59
Bosnia and Herzegovina,BIH,2021-10-31,37.71
Bosnia and Herzegovina,BIH,2021-11-30,58.23
Bosnia and Herzegovina,BIH,2021-12-31,52.62
Brazil,BRA,2020-01-31,1.56
Brazil,BRA,2020-02-29,5.25
Brazil,BRA,2020-03-31,6.52
Brazil,BRA,2020-04-30,11.48
Brazil,BRA,2020-05-31,30.71
Brazil,BRA,2020-06-30,19.28
Brazil,BRA,2020-07-31,18.9
Brazil,BRA,2020-08-31,21.65
Brazil,BRA,2020-09-30,15.81
Brazil,BRA,2020-10-31,15.82
Brazil,BRA,2020-11-30,16.38
Brazil,BRA,2020-12-31,25.11
Brazil,BRA,2021-01-31,33.84
Brazil,BRA,2021-02-28,33.35
Brazil,BRA,2021-03-31,82.88
Brazil,BRA,2021-04-30,71.52
Brazil,BRA,2021-05-31,50.18
Brazil,BRA,2021-06-30,41.56
Brazil,BRA,2021-07-31,29.94
Brazil,BRA,2021-08-31,25.59
Brazil,BRA,2021-09-30,15.81
Brazil,BRA,2021-10-31,6.66
Brazil,BRA,2021-11-30,13.59
Brazil,BRA,2021-12-31,10.66
Brazil,BRA,2022-01-31,37.79
Brazil,BRA,2022-02-28,31.23
Brunei,BRN,2020-01-31,17.16
Brunei,BRN,2020-02-29,11.85
Brunei,BRN,2020-03-31,0.8
Brunei,BRN,2020-04-30,-6.5
Brunei,BRN,2020-05-31,-7.61
Brunei,BRN,2020-06-30,42.86
Brunei,BRN,2020-07-31,-5.91
Brunei,BRN,2020-08-31,-5.97
Brunei,BRN,2020-09-30,-21.09
Brunei,BRN,2020-10-31,-16.98
Brunei,BRN,2020-11-30,-4.05
Brunei,BRN,2020-12-31,-7.41
Bulgaria,BGR,2020-01-05,-17.69
Bulgaria,BGR,2020-01-12,-10.78
Bulgaria,BGR,2020-01-19,-12.9
Bulgaria,BGR,2020-01-26,-3.83
Bulgaria,BGR,2020-02-02,-0.08
Bulgaria,BGR,2020-02-09,2.45
Bulgaria,BGR,2020-02-16,1.55
Bulgaria,BGR,2020-02-23,-4.75
Bulgaria,BGR,2020-03-01,-3.43
Bulgaria,BGR,2020-03-08,-8.84
Bulgaria,BGR,2020-03-15,-5
Bulgaria,BGR,2020-03-22,-4.58
Bulgaria,BGR,2020-03-29,-1.97
Bulgaria,BGR,2020-04-05,-3.34
Bulgaria,BGR,2020-04-12,-1.2
Bulgaria,BGR,2020-04-19,-1.09
Bulgaria,BGR,2020-04-26,-2.56
Bulgaria,BGR,2020-05-03,-5.12
Bulgaria,BGR,2020-05-10,-4.8
Bulgaria,BGR,2020-05-17,6.99
Bulgaria,BGR,2020-05-24,-2.83
Bulgaria,BGR,2020-05-31,-6.98
Bulgaria,BGR,2020-06-07,1.18
Bulgaria,BGR,2020-06-14,1.84
Bulgaria,BGR,2020-06-21,-0.62
Bulgaria,BGR,2020-06-28,-1.75
Bulgaria,BGR,2020-07-05,13.79
Bulgaria,BGR,2020-07-12,6.36
Bulgaria,BGR,2020-07-19,-0.33
Bulgaria,BGR,2020-07-26,1.75
Bulgaria,BGR,2020-08-02,11.29
Bulgaria,BGR,2020-08-09,7.59
Bulgaria,BGR,2020-08-16,7.32
Bulgaria,BGR,2020-08-23,5.4
Bulgaria,BGR,2020-08-30,7.61
Bulgaria,BGR,2020-09-06,8.47
Bulgaria,BGR,2020-09-13,6.32
Bulgaria,BGR,2020-09-20,3.15
Bulgaria,BGR,2020-09-27,3.33
Bulgaria,BGR,2020-10-04,3
Bulgaria,BGR,2020-10-11,5.96
Bulgaria,BGR,2020-10-18,5.84
Bulgaria,BGR,2020-10-25,16.72
Bulgaria,BGR,2020-11-01,32.17
Bulgaria,BGR,2020-11-08,55.26
Bulgaria,BGR,2020-11-15,87.56
Bulgaria,BGR,2020-11-22,113.65
